nodeURL is: rmi://LAPTOP-CSNHLNIB:1099/node00
Hash for this serverName is: 502500203
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 787713278
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 787713278
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1056148734
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1056148734
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1593019646
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1593019646
rmi://LAPTOP-CSNHLNIB:1099/node01 is releasing the join lock
rmi://LAPTOP-CSNHLNIB:1099/node02 is trying to aquire join lock
rmi://LAPTOP-CSNHLNIB:1099/node02 join lock acquired
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055442
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055442
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055443
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055443
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055445
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055445
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055449
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055449
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055457
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055457
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055473
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055473
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055505
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055505
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055569
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055569
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055697
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055697
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055953
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536055953
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536056465
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536056465
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536057489
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536057489
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536059537
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536059537
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536063633
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536063633
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536071825
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536071825
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536088209
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536088209
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536120977
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536120977
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536186513
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536186513
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536317585
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536317585
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536579729
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536579729
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 537104017
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 537104017
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 538152593
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 538152593
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 540249745
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 540249745
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 544444049
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 544444049
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552832657
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552832657
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 569609873
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 569609873
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 603164305
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 603164305
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 670273169
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 670273169
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 804490897
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 804490897
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1072926353
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1072926353
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1609797265
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1609797265
rmi://LAPTOP-CSNHLNIB:1099/node02 is releasing the join lock
rmi://LAPTOP-CSNHLNIB:1099/node03 is trying to aquire join lock
rmi://LAPTOP-CSNHLNIB:1099/node03 join lock acquired
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833061
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833061
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833062
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833062
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833064
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833064
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833068
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833068
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833076
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833076
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833092
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833092
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833124
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833124
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833188
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833188
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833316
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833316
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833572
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552833572
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552834084
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552834084
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552835108
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552835108
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552837156
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552837156
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552841252
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552841252
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552849444
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552849444
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552865828
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552865828
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552898596
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552898596
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552964132
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 552964132
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 553095204
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 553095204
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 553357348
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 553357348
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 553881636
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 553881636
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 554930212
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 554930212
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 557027364
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 557027364
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 561221668
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 561221668
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 569610276
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 569610276
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 586387492
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 586387492
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 619941924
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 619941924
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 687050788
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 687050788
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 821268516
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 821268516
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1089703972
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1089703972
find sucessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1626574884
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1626574884
rmi://LAPTOP-CSNHLNIB:1099/node03 is releasing the join lock
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1926879790
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 588734996
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 2071979553
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1100255267
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 200675650
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 200675650
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 2117451917
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 161745152
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 161745152
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 798503001
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1443814732
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 339384881
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 339384881
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 389536215
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 389536215
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1734978560
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 53375528
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 53375528
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1249803663
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1520180009
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 179312795
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 179312795
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 747570892
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 764348511
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1891063905
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1185674694
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 319370707
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 319370707
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1622040604
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1903723604
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 2618183
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 2618183
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 244376075
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 244376075
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 965519502
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 414699834
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 414699834
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1244307660
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 2010687137
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1648110459
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 570346926
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1716829285
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1473315652
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1092942429
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 727861241
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 103752539
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 103752539
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1283536058
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 4606817
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 4606817
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1368124049
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 291248289
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 291248289
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 733148878
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 93305304
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 93305304
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 2067289152
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 171801113
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 171801113
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1581103209
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 985198363
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1780954544
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 397089826
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 397089826
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1098105258
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 364747081
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 364747081
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 480078301
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 480078301
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1429425171
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1908336255
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 753539747
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 266147935
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 266147935
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 300477663
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 300477663
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1428513624
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1066007642
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1213057714
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 753722816
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1286996043
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 291862444
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 291862444
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 840070045
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1449084040
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 79298791
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 79298791
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 632801499
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1357966059
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 28989673
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 28989673
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 381287526
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 381287526
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 850222215
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1550862988
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1489916846
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 536550727
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 326956313
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 326956313
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 89399900
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 89399900
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 555980810
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1576618502
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 2037162760
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 797876017
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 2042874866
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 418862075
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 418862075
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1577029256
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1921674448
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 27242552
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 27242552
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 703681802
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 404067665
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 404067665
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1166138443
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1378294636
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 688455725
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1940688992
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 2030068600
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 767048930
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1481730739
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1350193879
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 970075255
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1008029111
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 852050713
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1379402395
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1407514556
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 936399230
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1029175880
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1578212572
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1730335137
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1608686408
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 907726084
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 196391361
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 196391361
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 983447420
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 561024683
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1117849795
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 440097478
rmi://LAPTOP-CSNHLNIB:1099/node00 closest preceding finger for key: 440097478
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 883278079
find predecessor by: rmi://LAPTOP-CSNHLNIB:1099/node00 for start: 1783038232
